"Are you sure you want to set reward points on selected category?","Are you sure you want to set reward points on selected category?"
"Please Select Categories To Assign Reward Points","Please Select Categories To Assign Reward Points"
Saving,Saving
"Your reward was successfully cancelled","Your reward was successfully cancelled"
"Your reward was successfully applied","Your reward was successfully applied"
Webkul,Webkul
"Reward System","Reward System"
"General Settings of Reward Points","General Settings of Reward Points"
"Enable Reward System Module","Enable Reward System Module"
"1 Reward Point Value is Equals to","1 Reward Point Value is Equals to"
"e.g. 10","e.g. 10"
"Maximum Reward Points can Assign to a Customer","Maximum Reward Points can Assign to a Customer"
"e.g. 1000 (Maximum number of points assign to a customer)","e.g. 1000 (Maximum number of points assign to a customer)"
"Maximum Reward Points can be Used By a Customer","Maximum Reward Points can be Used By a Customer"
"e.g. 1000 (Maximum number of points can be used by the customer at the time of order place)","e.g. 1000 (Maximum number of points can be used by the customer at the time of order place)"
"Allow Reward Points on Registration","Allow Reward Points on Registration"
"Reward Points On Registration","Reward Points On Registration"
"Allow Reward Points on Product Review","Allow Reward Points on Product Review"
"Reward Points On Product Review","Reward Points On Product Review"
"Order Placed Reward Points Applied When","Order Placed Reward Points Applied When"
"Reward points for placed order will Approved on the selected event.","Reward points for placed order will Approved on the selected event."
"Order Placed Reward Points Calculation Based On","Order Placed Reward Points Calculation Based On"
"Reward points for placed order will calculate based on Product/Cart/Category.","Reward points for placed order will calculate based on Product/Cart/Category."
"Rewards Applied product's Quantity wise","Rewards Applied product's Quantity wise"
"If yes then reward points will apply product's quantity wise.","If yes then reward points will apply product's quantity wise."
"Enter Attribute Code","Enter Attribute Code"
"Please enter attribute code for attribute rule.","Please enter attribute code for attribute rule."
"Manage Email Settings","Manage Email Settings"
"Reward Transaction Template","Reward Transaction Template"
ID,ID
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
Phone,Phone
ZIP,ZIP
Country,Country
State/Province,State/Province
"Customer Since","Customer Since"
"Web Site","Web Site"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Date of Birth","Date of Birth"
"Tax VAT Number","Tax VAT Number"
Gender,Gender
"Street Address","Street Address"
City,City
Fax,Fax
"VAT Number","VAT Number"
Company,Company
"Billing Firstname","Billing Firstname"
"Billing Lastname","Billing Lastname"
"Account Lock","Account Lock"
Transaction,Transaction
"Prefered Action","Prefered Action"
"Enter Reward Points.","Enter Reward Points."
"Note Message","Note Message"
"Enter your message which you want to show for this transaction.","Enter your message which you want to show for this transaction."
Customers,Customers
"Add Customer","Add Customer"
"Add Selected Customers","Add Selected Customers"
"Add Customers","Add Customers"
Customer,Customer
